team,player,created_at_utc,games,minutes_avg,minutes_l3,minutes_l5,points_avg,points_l3,points_l5,rebounds_avg,rebounds_l3,rebounds_l5,dreb_avg,dreb_l3,dreb_l5,assists_avg,assists_l3,assists_l5,threes_avg,threes_l3,threes_l5,turnovers_avg,turnovers_l3,turnovers_l5,fga_avg,fga_l3,fga_l5,fta_avg,fta_l3,fta_l5,scoring_dependency,dash_gp,dash_w,dash_l,dash_w_pct,dash_min,dash_pts,dash_reb,dash_ast,dash_plus_minus
CON,Aneesah Morrow,2026-07-09T13:59:53.603978+00:00,58,20.01206896551724,11.0,15.059999999999999,8.5,4.0,6.2,7.603448275862069,4.333333333333333,5.6,5.344827586206897,2.6666666666666665,3.6,0.7931034482758621,1.3333333333333333,1.6,0.5517241379310345,0.0,0.0,1.293103448275862,1.0,1.0,8.224137931034482,4.666666666666667,7.8,2.293103448275862,1.3333333333333333,1.2,0.11283991876472906,17.0,3.0,14.0,0.176,22.7,10.5,9.4,1.5,-5.8
CON,Ashlon Jackson,2026-07-09T13:59:53.609700+00:00,6,10.433333333333334,7.833333333333333,9.459999999999999,1.6666666666666667,0.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8,0.3333333333333333,0.0,0.4,0.5,1.0,0.6,1.6666666666666667,1.0,1.4,0.3333333333333333,0.0,0.4,0.022619047619047622,6.0,2.0,4.0,0.333,10.4,1.7,1.0,0.8,-7.5
CON,Bria Hartley,2026-07-09T13:59:53.615274+00:00,38,22.826315789473682,30.366666666666664,24.56,8.868421052631579,11.333333333333334,8.0,1.9736842105263157,3.0,1.8,1.6842105263157894,2.0,1.2,3.0789473684210527,4.666666666666667,3.6,1.4210526315789473,1.0,0.6,1.8157894736842106,2.3333333333333335,1.8,7.7105263157894735,6.666666666666667,5.8,2.4210526315789473,4.0,3.2,0.11207530573465492,38.0,10.0,28.0,0.263,22.8,8.9,2.0,3.1,-6.9
CON,Brittney Griner,2026-07-09T13:59:53.620931+00:00,13,25.546153846153842,28.53333333333333,26.24,13.461538461538462,17.333333333333332,16.4,5.769230769230769,7.666666666666667,7.8,3.8461538461538463,5.666666666666667,5.4,2.3846153846153846,2.0,2.2,0.0,0.0,0.0,1.7692307692307692,1.6666666666666667,2.0,10.307692307692308,13.333333333333334,12.2,3.6153846153846154,5.666666666666667,4.6,0.16265313477564705,13.0,4.0,9.0,0.308,25.5,13.5,5.8,2.4,-2.8
CON,Charlisse Leger-Walker,2026-07-09T13:59:53.626495+00:00,22,21.500000000000004,29.533333333333335,29.74,7.136363636363637,9.0,10.0,2.0454545454545454,3.3333333333333335,4.0,1.8636363636363635,3.0,3.8,2.909090909090909,3.0,3.8,0.7727272727272727,1.3333333333333333,1.4,1.4090909090909092,2.0,1.8,6.318181818181818,9.0,9.4,1.8636363636363635,1.6666666666666667,1.8,0.09033274164258287,22.0,5.0,17.0,0.227,21.5,7.1,2.0,2.9,-3.0
CON,Diamond Miller,2026-07-09T13:59:53.632216+00:00,22,21.277272727272727,21.5,22.660000000000004,8.318181818181818,7.0,6.8,2.3636363636363638,3.6666666666666665,3.2,1.8636363636363635,3.0,2.8,1.3636363636363635,2.0,2.2,0.7272727272727273,0.0,0.2,1.2272727272727273,2.0,1.6,7.863636363636363,6.666666666666667,6.6,2.6363636363636362,4.333333333333333,2.8,0.10490062052915294,22.0,5.0,17.0,0.227,21.3,8.3,2.4,1.4,-5.0
CON,Gianna Kneepkens,2026-07-09T13:59:53.637932+00:00,18,8.31111111111111,6.133333333333333,4.659999999999999,3.1666666666666665,4.0,2.4,1.1111111111111112,0.3333333333333333,0.4,0.6111111111111112,0.3333333333333333,0.2,0.5555555555555556,0.3333333333333333,0.2,0.2777777777777778,0.6666666666666666,0.4,0.2222222222222222,0.0,0.4,2.6666666666666665,2.6666666666666665,1.8,0.8333333333333334,0.6666666666666666,0.4,0.0417885714656033,18.0,4.0,14.0,0.222,8.3,3.2,1.1,0.6,-2.0
CON,Hailey Van Lith,2026-07-09T13:59:53.643522+00:00,10,16.36,12.999999999999998,12.2,7.7,5.333333333333333,4.2,1.1,1.6666666666666667,1.0,0.9,1.3333333333333333,0.8,2.0,0.6666666666666666,0.8,0.8,0.0,0.2,1.2,1.0,0.8,6.2,4.333333333333333,4.4,0.8,1.3333333333333333,0.8,0.10083118399151843,10.0,1.0,9.0,0.1,16.4,7.7,1.1,2.0,-4.4
CON,Haley Peters,2026-07-09T13:59:53.649156+00:00,33,11.515151515151516,6.3999999999999995,8.180000000000001,2.0606060606060606,2.0,2.2,2.242424242424242,0.6666666666666666,2.6,1.4848484848484849,0.0,1.6,0.7575757575757576,0.3333333333333333,0.6,0.24242424242424243,0.6666666666666666,0.6,0.6666666666666666,0.3333333333333333,0.4,2.484848484848485,1.6666666666666667,1.8,0.3939393939393939,0.0,0.4,0.028593851384755807,33.0,6.0,27.0,0.182,11.5,2.1,2.2,0.8,-3.4
CON,Jacy Sheldon,2026-07-09T13:59:53.654733+00:00,28,24.150000000000002,22.2,22.4,7.535714285714286,3.6666666666666665,7.0,1.9285714285714286,2.3333333333333335,2.6,1.1785714285714286,1.3333333333333333,2.0,1.9642857142857142,2.0,2.0,1.25,0.3333333333333333,1.4,1.0714285714285714,0.3333333333333333,0.6,6.0,5.0,5.6,0.7142857142857143,0.6666666666666666,0.4,0.10170395550433306,,,,,,,,,
