event_id,sport_key,commence_time,home_team,away_team,bookmaker_key,bookmaker,last_update,market,name,price,point
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Under,1.95,185.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,mybookieag,MyBookie.ag,2026-08-12T12:06:26Z,totals,Over,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,mybookieag,MyBookie.ag,2026-08-12T12:06:26Z,totals,Under,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Over,1.93,186.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Under,1.85,186.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Over,1.93,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Under,1.93,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Over,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Under,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,bovada,Bovada,2026-08-12T12:05:51Z,totals,Over,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,bovada,Bovada,2026-08-12T12:05:51Z,totals,Under,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betmgm,BetMGM,2026-08-12T12:05:46Z,totals,Over,1.87,185.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betmgm,BetMGM,2026-08-12T12:05:46Z,totals,Under,1.95,185.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betus,BetUS,2026-08-12T12:05:27Z,totals,Over,1.91,186.0
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,betus,BetUS,2026-08-12T12:05:27Z,totals,Under,1.91,186.0
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Over,1.91,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Under,1.91,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Over,1.91,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Under,1.91,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Over,1.93,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,betrivers,BetRivers,2026-08-12T12:05:28Z,totals,Under,1.85,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Over,1.93,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,lowvig,LowVig.ag,2026-08-12T12:05:48Z,totals,Under,1.93,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Over,1.91,173.5
9a2fa5d20edb2bc7e2ce1298cb3d5348,basketball_wnba,2026-08-13T23:00:00Z,Connecticut Sun,Atlanta Dream,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Under,1.91,173.5
adc6dd060846838773f87fb71bbbad5d,basketball_wnba,2026-08-14T00:00:00Z,New York Liberty,Los Angeles Sparks,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Over,1.91,186.5
