GAME_ID,GAME_DATE,TEAM_1,TEAM_2,PTS_1,PTS_2,TOTAL_POINTS,MATCHUP_1,MATCHUP_2,TEAM_ROWS
1022500105,2025-06-29,CHI,LAS,92,85,177,CHI @ LAS,LAS vs. CHI,2
1022500106,2025-06-29,LVA,PHX,84,81,165,LVA @ PHX,PHX vs. LVA,2
1022500107,2025-06-29,MIN,CON,102,63,165,MIN vs. CON,CON @ MIN,2
1022500108,2025-06-29,GSV,SEA,84,57,141,GSV vs. SEA,SEA @ GSV,2
1022500109,2025-07-03,IND,LVA,81,54,135,IND vs. LVA,LVA @ IND,2
1022500110,2025-07-03,LAS,NYL,79,89,168,LAS @ NYL,NYL vs. LAS,2
1022500111,2025-07-03,ATL,SEA,79,80,159,ATL vs. SEA,SEA @ ATL,2
1022500112,2025-07-03,DAL,PHX,98,89,187,DAL vs. PHX,PHX @ DAL,2
1022500113,2025-07-03,MIN,WAS,92,75,167,MIN vs. WAS,WAS @ MIN,2
1022500114,2025-07-05,IND,LAS,87,89,176,IND vs. LAS,LAS @ IND,2
1022500115,2025-07-05,GSV,MIN,71,82,153,GSV @ MIN,MIN vs. GSV,2
1022500116,2025-07-06,CON,LVA,68,86,154,CON vs. LVA,LVA @ CON,2
1022500117,2025-07-06,SEA,NYL,79,70,149,SEA @ NYL,NYL vs. SEA,2
1022500118,2025-07-06,CHI,MIN,75,80,155,CHI @ MIN,MIN vs. CHI,2
1022500119,2025-07-07,GSV,ATL,81,90,171,GSV @ ATL,ATL vs. GSV,2
1022500120,2025-07-07,DAL,PHX,72,102,174,DAL @ PHX,PHX vs. DAL,2
1022500121,2025-07-08,CHI,WAS,79,81,160,CHI @ WAS,WAS vs. CHI,2
1022500122,2025-07-08,LVA,NYL,78,87,165,LVA @ NYL,NYL vs. LVA,2
1022500123,2025-07-09,SEA,CON,83,93,176,SEA @ CON,CON vs. SEA,2
1022500124,2025-07-09,GSV,IND,80,61,141,GSV @ IND,IND vs. GSV,2
1022500125,2025-07-09,MIN,PHX,71,79,150,MIN @ PHX,PHX vs. MIN,2
1022500126,2025-07-09,CHI,DAL,87,76,163,CHI vs. DAL,DAL @ CHI,2
1022500127,2025-07-10,MIN,LAS,91,82,173,MIN @ LAS,LAS vs. MIN,2
1022500128,2025-07-10,WAS,LVA,70,68,138,WAS vs. LVA,LVA @ WAS,2
1022500129,2025-07-11,ATL,IND,82,99,181,ATL @ IND,IND vs. ATL,2
1022500130,2025-07-11,SEA,CON,79,65,144,SEA vs. CON,CON @ SEA,2
1022500131,2025-07-12,CHI,MIN,87,81,168,CHI vs. MIN,MIN @ CHI,2
1022500132,2025-07-12,GSV,LVA,102,104,206,GSV @ LVA,LVA vs. GSV,2
1022500133,2025-07-13,IND,DAL,102,83,185,IND vs. DAL,DAL @ IND,2
1022500134,2025-07-13,ATL,NYL,72,79,151,ATL @ NYL,NYL vs. ATL,2
1022500135,2025-07-13,CON,LAS,88,92,180,CON @ LAS,LAS vs. CON,2
1022500136,2025-07-13,SEA,WAS,69,74,143,SEA vs. WAS,WAS @ SEA,2
1022500137,2025-07-14,CHI,MIN,78,91,169,CHI vs. MIN,MIN @ CHI,2
1022500138,2025-07-14,GSV,PHX,77,78,155,GSV vs. PHX,PHX @ GSV,2
1022500139,2025-07-15,IND,CON,85,77,162,IND @ CON,CON vs. IND,2
